Id,Creation Time,Monitoring Time,test/bleu,test/chrf,test/rouge-l-f,val/bleu (max),val/chrf (max),val/rouge-l-f (max),raw_model
DAT-15,2023-02-19 17:26:46,122,,,,,,,cointegrated/rut5-base-multitask
DAT-14,2023-02-19 17:23:29,173,,,,,,,cointegrated/rut5-base-multitask
DAT-13,2023-02-19 17:04:36,1112,,,,,,,cointegrated/rut5-base-multitask
DAT-12,2023-02-19 16:47:59,642,,,,,,,cointegrated/rut5-base-multitask
DAT-11,2023-02-19 16:38:31,284,,,,,,,cointegrated/rut5-base-multitask
DAT-10,2023-02-19 16:26:56,669,,,,,,,cointegrated/rut5-base-multitask
DAT-9,2023-02-19 12:06:20,4,,,,,,,
DAT-8,2023-02-19 12:01:25,289,,,,,,,
DAT-7,2023-02-19 02:15:10,879,,,,,,,
DAT-6,2023-02-19 00:53:31,2631,,,,,,,cointegrated/rut5-base-multitask
DAT-5,2023-02-18 22:43:29,1954,,,,,,,
DAT-4,2023-02-18 19:26:58,64,,,,,,,
DAT-3,2023-02-18 16:41:10,183,,,,,,,
DAT-2,2023-02-18 16:31:22,1,,,,,,,
DAT-1,2023-02-16 21:59:31,1,,,,,,,
